treespec,prod_wd,unit,bark,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 
CONIF,RW,THS_M3,OVBK,AT	15619.84 	17893.93 	17963.23 	16346.24 	15516.71 	16319.32 	15592.44 	16149.47 	16724.44 	17614.53 	17132.24 	15768.42 	21150.62 	20861.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	3622.1 	3506.67 	3135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,BG	3119.76 	3388.24 	4233.26 	3297.95 	3551.74 	3334.27 	2712.07 	2883.82 	2583 	2541 	2156 	1431 	2508 	2067 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,CH	3578.45 	3327.63 	3854.32 	3225.91 	3010.3 	3093.51 	3170.27 e	3320.68 	3303.65 	3657.77 	3779.64 	3618.24 	4011.86 	4538.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,CY	: 	: 	: 	: 	: 	: 	0 	0 	11.49 	9.46 	10.28 	9.79 	22.94 	22.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,CZ	: 	: 	: 	: 	: 	: 	: 	: 	16181.26 	14674 	16572.6 	15451.7 	16364.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,DE	: 	: 	: 	: 	: 	: 	: 	: 	42311.16 	45880.74 	46684.44 	40754.83 	47028.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,DK	: 	: 	: 	: 	2905.2 	2905.2 	: 	: 	: 	: 	2217.44 	2336.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,EE	6447 	6659 	7410 	6350 	6290 	6140 	5280 	4850 	4830 	4770 	4760 	3615 e	3255 	3040 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,OVBK,EL	: 	: 	: 	: 	: 	: 	: 	: 	336.04 	364.73 	442.68 	484.44 	484.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
